##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
241 58222714 280 48.67 43796 21.97
242 59287616 96 21.67 44536 21.54
243 59442605 817 712.06 44661 21.76
244 59750107 140 25.42 44897 21.54
245 59813417 350 66.46 44960 21.76
246 59961167 705 364.03 45081 21.54
247 60108264 344 64.67 45200 21.54
248 60393212 408 90.57 45404 22.19
249 60750639 415 95.00 45670 21.54
250 61594599 444 109.09 46234 21.54
251 61645428 348 65.64 46298 21.54
252 62126439 78 19.92 46659 21.54
253 62270318 176 30.09 46781 21.54
254 62344278 432 101.61 46853 21.54
255 62344946 614 229.43 46872 21.54
256 62385933 527 155.96 46913 21.54
257 62450175 396 85.28 46977 21.54
258 62458887 513 148.53 47003 21.54
259 62482858 448 112.41 47043 21.54
260 62786851 252 43.42 47265 21.54
261 63238712 204 34.73 47605 21.54
262 63953010 391 82.35 48105 21.54
263 64079735 396 85.28 48205 21.54
264 64399308 120 23.58 48448 21.54
265 64752719 302 53.30 48706 21.54
266 65029752 344 64.67 48902 21.54
267 65268246 252 43.42 49081 21.54
268 65315562 688 328.69 49137 21.54
269 65368011 236 40.44 49183 21.54
270 65374885 176 30.09 49206 21.54
271 65713177 423 97.36 49450 21.33
272 65734784 207 35.26 49487 21.54
273 65855073 310 55.16 49574 21.54
274 65865056 384 80.08 49596 21.54
275 66027801 355 68.30 49708 21.33
276 66062069 199 33.86 49745 21.54
277 66418717 376 76.43 49999 21.11
278 66497208 115 23.18 50081 21.33
279 67096338 536 160.18 50550 20.90
280 67477486 721 433.48 50843 20.90
281 67584341 265 45.75 50927 21.54
282 67780576 460 119.54 51082 21.11
283 67914548 326 59.13 51188 21.11
284 68040906 359 69.86 51289 21.11
285 68041692 396 85.28 51309 21.33
286 68271977 455 117.03 51466 21.33
287 68321763 110 22.78 51511 20.90
288 68356805 399 87.30 51553 20.90
289 68610957 287 50.23 51761 20.90
290 68780522 332 61.17 51911 21.11
291 69057217 451 113.08 52103 20.90
292 69643645 519 154.30 52565 20.90
293 69706583 376 76.43 52625 20.90
294 69738092 472 125.87 52670 20.90
295 70222791 615 227.36 52983 20.90
296 70280567 231 39.55 53035 20.90
297 70312406 147 26.19 53074 20.90
298 70437916 440 109.25 53174 20.90
299 70584742 440 109.25 53286 20.90
300 70657426 51 15.86 53366 20.90
301 70684449 399 87.30 53405 20.90
302 70789608 316 56.81 53509 20.90
303 70887913 76 19.69 53595 20.90
304 71036619 60 17.43 53711 20.90
305 71088811 51 15.86 53768 21.11
306 71220190 428 101.58 53869 20.90
307 71624928 588 183.26 54163 21.54
308 71825111 295 51.75 54331 21.54
309 71920632 230 39.39 54409 21.54
310 72360478 423 97.36 54747 21.54
311 72416279 76 19.69 54796 21.54
312 72784247 255 43.96 55052 21.54
313 73107706 275 47.73 55299 21.76
314 73196264 575 187.30 55367 21.97
315 73719391 575 187.30 55705 21.76
316 73780198 463 119.23 55770 22.19
317 74454794 536 160.18 56232 22.19
318 74509617 543 164.77 56295 22.19
319 74714996 259 44.69 56445 22.19
320 74867687 487 132.65 56567 22.19
321 74964382 271 46.93 56644 22.19
322 75137233 71 19.06 56808 22.19
323 75202778 371 73.82 56877 22.19
324 75228043 263 45.37 56920 22.19
325 75668639 291 50.97 57243 22.19
326 75688360 430 101.41 57276 22.19
327 75751708 359 69.86 57339 22.19
328 75963599 364 71.71 57490 22.19
329 76686901 150 26.54 57965 22.19
330 76854435 323 58.48 58096 22.19
331 77377333 391 82.35 58442 22.19
332 78573451 428 101.58 59256 22.19
333 78813495 606 221.61 59433 22.19
334 78955803 364 71.71 59542 22.19
335 79158479 391 82.35 59694 22.19
336 79192581 313 56.02 59751 22.19
337 79265790 364 71.71 59819 22.19
338 80177750 291 50.97 60443 22.19
339 80382779 131 24.54 60600 22.19
340 80389870 209 35.61 60627 22.19
341 80420497 515 147.53 60664 22.19
342 80875197 433 104.37 60982 22.19
343 81054512 472 125.87 61125 22.19
344 81305783 364 71.71 61310 22.19
345 81651475 441 109.77 61551 22.19
346 81921290 56 16.76 61739 22.19
347 82031363 83 20.46 61817 22.19
348 82208997 172 29.49 61944 22.19
349 82315520 57 16.93 62046 22.19
350 82416260 135 24.92 62131 22.19
351 82622291 195 33.17 62310 22.19
352 82639328 504 143.61 62341 22.19
353 82802174 273 47.25 62484 22.19
354 82960049 390 82.70 62602 22.19
355 83099092 419 97.20 62720 22.19
356 83304120 444 109.09 62882 22.19
357 83706270 227 38.83 63162 22.19
358 83767958 67 18.51 63224 22.19
359 83851639 319 57.64 63289 22.19
360 83901667 231 39.55 63344 22.19
361 83910048 444 109.09 63371 22.19
362 83939608 433 104.37 63418 22.19
363 84236177 49 15.48 63649 22.19
364 84429074 622 244.71 63803 22.19
365 84461670 193 32.84 63858 22.19
366 84690368 432 101.61 64020 22.19
367 84809566 334 61.44 64113 22.19
368 84931766 483 132.60 64201 22.19
369 84937894 711 380.66 64229 22.19
370 85124594 492 134.92 64367 22.19
371 85288785 142 25.64 64520 22.19
372 85389751 433 104.37 64604 22.19
373 85834819 307 54.48 64934 22.19
374 86072772 172 29.49 65113 22.19
375 86304159 440 109.25 65288 22.19
376 86709011 188 32.01 65567 22.19
377 86870256 255 43.96 65711 22.19
378 86938643 56 16.76 65785 22.19
379 86982871 679 318.29 65845 22.19
