##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
1 53145 240 41.21 46 22.19
2 493246 216 36.85 361 22.19
3 514914 611 211.89 397 22.19
4 977881 463 119.23 715 22.19
5 1260693 63 17.91 933 22.19
6 1420230 211 35.96 1085 22.19
7 1455268 120 23.58 1125 22.19
8 1569007 249 42.85 1230 22.29
9 1602363 211 35.96 1270 22.29
10 1725328 455 117.03 1391 22.19
11 1806357 207 35.26 1468 22.19
12 1868368 432 101.61 1524 22.19
13 1946717 444 109.09 1596 22.19
14 2046234 463 119.23 1684 22.51
15 2136956 398 85.63 1775 22.29
16 2168938 206 35.07 1810 22.29
17 2174642 515 147.53 1833 22.29
18 2213480 583 201.26 1869 22.40
19 2637861 620 217.12 2188 22.51
20 3115211 401 87.91 2554 22.51
21 3371666 463 119.23 2764 22.51
22 3463557 295 51.75 2849 22.51
23 3605162 408 90.57 2975 22.51
24 3640838 652 262.10 3014 22.51
25 3869809 159 27.66 3183 22.51
26 4006125 305 53.88 3319 22.51
27 4265734 137 25.12 3527 22.51
28 4354636 385 80.11 3620 22.51
29 4481735 71 19.06 3724 22.51
30 5583629 387 81.05 4484 22.51
31 5867809 568 189.84 4686 22.51
32 6075674 243 41.74 4869 22.51
33 6193978 415 95.00 4979 22.51
34 6194177 547 162.22 5000 22.51
35 6956780 327 59.28 5586 22.51
36 7291657 540 166.11 5824 22.51
37 7380327 412 92.93 5911 22.51
38 7587705 103 22.23 6073 22.51
39 7673802 275 47.73 6145 22.51
40 7794975 280 48.67 6237 22.51
41 8011180 432 101.61 6394 22.51
42 8028882 284 49.41 6426 22.51
43 8180431 227 38.83 6561 22.51
44 8401009 88 20.96 6715 22.51
45 8673758 67 18.51 6925 22.51
46 9071660 467 121.56 7206 22.51
47 9179341 419 97.20 7288 22.51
48 9223667 705 364.03 7344 22.51
49 9240351 304 53.73 7377 22.51
50 9339413 174 29.79 7484 22.51
51 9345705 384 80.08 7507 22.51
52 9379076 63 17.91 7555 22.51
53 9543006 1023 2152.99 7706 22.51
54 9638224 430 101.41 7799 22.51
55 9640038 440 109.25 7819 22.51
56 9691977 430 101.41 7868 22.51
57 9927011 137 25.12 8058 22.51
58 9968206 384 80.08 8111 22.51
59 9980114 417 95.20 8134 22.51
60 10264565 312 55.68 8346 22.51
61 10330944 496 144.49 8407 22.51
62 10426615 432 101.61 8492 22.51
63 10443602 216 36.85 8521 22.51
64 10632331 435 104.92 8678 22.51
65 11080077 216 36.85 8981 22.51
66 11260238 199 33.86 9139 22.51
67 11585443 432 101.61 9399 22.51
68 11727037 428 101.58 9512 22.51
69 11747123 335 61.77 9547 22.51
70 11805211 385 80.11 9607 22.51
71 12669090 384 80.08 10166 22.51
72 12795605 71 19.06 10265 22.51
73 13122330 401 87.91 10527 22.51
74 13305254 179 30.55 10661 22.51
75 13412130 391 82.35 10749 22.51
76 13441292 79 20.03 10787 22.51
77 13494798 211 35.96 10844 22.51
78 13523507 286 49.78 10879 22.51
79 13568563 496 144.49 10923 22.51
80 13572891 275 47.73 10944 22.51
81 14607383 88 20.96 11672 22.51
82 14641045 51 15.86 11723 22.51
83 14920940 206 35.07 11921 22.51
84 14962961 408 90.57 11966 22.51
85 14966025 96 21.67 11986 22.51
86 14990561 71 19.06 12024 22.51
87 15242816 352 66.89 12232 22.51
88 15276816 287 50.23 12279 22.51
89 15476282 396 85.28 12443 22.51
90 15818369 480 130.21 12711 22.51
91 15843714 233 39.92 12752 22.51
92 16002176 62 17.75 12881 22.51
93 16036780 430 101.41 12920 22.51
94 16359863 609 211.41 13147 22.51
95 16901032 195 33.17 13536 22.51
96 16913684 368 72.93 13566 22.51
97 16966187 368 72.93 13631 22.51
98 17164064 335 61.77 13759 22.51
99 17273738 483 132.60 13851 22.51
100 17935456 691 332.16 14273 22.51
101 17999911 121 23.66 14343 22.51
102 18215011 368 72.93 14489 22.51
103 18389421 199 33.86 14636 22.51
104 18518498 156 27.28 14745 22.51
105 18541345 664 270.86 14780 22.51
106 18678199 739 495.61 14897 22.51
107 18699308 419 97.20 14932 22.51
108 18845970 384 80.08 15041 22.51
109 18879280 103 22.23 15077 22.51
110 19092632 344 64.67 15252 22.51
111 19095424 358 69.10 15277 22.51
112 19281475 188 32.01 15421 22.51
113 19311964 65 18.22 15454 22.51
114 19358034 606 221.61 15505 22.51
115 19537538 384 80.08 15642 22.51
116 19559454 62 17.75 15676 22.51
117 19619465 368 72.93 15718 22.51
118 19755007 63 17.91 15834 22.51
119 20666546 366 72.41 16439 22.51
120 20704694 422 97.97 16489 22.51
121 20743585 153 26.90 16534 22.51
122 21004675 536 160.18 16736 22.51
123 21794841 313 56.02 17288 22.51
124 22110457 414 93.93 17503 22.51
125 22163908 172 29.49 17562 22.51
126 22493993 440 109.25 17820 22.51
127 22600067 444 109.09 17905 22.51
128 22733883 399 87.30 18021 22.51
129 22762184 408 90.57 18057 22.51
130 23083895 632 232.56 18280 22.51
131 23115822 391 82.35 18318 22.51
132 23407559 195 33.17 18541 22.51
133 23501384 371 73.82 18633 22.51
134 23519245 327 59.28 18666 22.51
135 23745810 120 23.58 18820 22.51
136 23830824 112 22.94 18894 22.51
137 23895712 83 20.46 18958 22.51
138 24420118 295 51.75 19333 22.40
139 24509265 387 81.05 19427 22.51
140 24613684 302 53.30 19518 22.51
141 24689946 83 20.46 19595 22.51
142 24734641 385 80.11 19650 22.51
143 25040275 56 16.76 19896 22.40
144 25056299 380 78.12 19920 22.40
