##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
630 145770470 671 277.06 110235 21.54
631 145804942 627 249.17 110281 21.54
632 146016845 319 57.64 110432 21.54
633 146046456 156 27.28 110477 21.54
634 146384945 780 538.09 110732 21.54
635 146810944 88 20.96 111058 21.54
636 147311598 71 19.06 111441 21.54
637 147501768 62 17.75 111574 21.54
638 147920359 355 68.30 111842 21.54
639 148029277 432 101.61 111930 21.54
640 148626677 108 22.63 112354 21.54
641 148817822 167 28.76 112506 21.54
642 149238518 415 95.00 112802 21.54
643 149718196 487 132.65 113158 21.54
644 149756154 376 76.43 113202 21.54
645 149814112 316 56.81 113274 21.54
646 149915202 711 380.66 113347 21.54
647 149942707 415 95.00 113385 21.54
648 150140340 344 64.67 113530 21.54
649 150182057 271 46.93 113576 21.54
650 150579340 275 47.73 113894 21.54
651 150732100 92 21.32 114026 21.54
652 151193511 312 55.68 114376 21.54
653 151295421 384 80.08 114459 21.54
654 151394588 419 97.20 114555 21.33
655 151638605 647 246.69 114733 21.33
656 151773456 255 43.96 114820 21.54
657 152001798 248 42.69 114974 21.54
658 152030054 647 246.69 115009 21.33
659 152542975 606 221.61 115372 20.90
660 152930574 88 20.96 115635 21.54
661 153237030 127 24.18 115865 21.11
662 153342489 728 431.28 115952 20.90
663 153737051 263 45.37 116235 21.11
664 153766603 271 46.93 116273 21.11
665 154092831 768 471.89 116530 20.90
666 154513107 689 300.98 116831 21.11
667 154859763 408 90.57 117104 20.90
668 154949306 56 16.76 117191 20.90
669 155073731 332 61.17 117298 20.90
670 155543313 689 300.98 117658 20.90
671 155819466 540 166.11 117902 20.90
672 155862662 190 32.33 117957 20.90
673 157063070 568 189.84 118828 20.90
674 157127722 71 19.06 118883 20.90
675 157136593 396 85.28 118908 20.90
676 158116222 352 66.89 119565 21.54
677 158300911 240 41.21 119702 21.54
678 158337364 224 38.29 119741 21.54
679 158503825 664 270.86 119881 21.54
680 159347054 460 119.54 120479 22.19
681 159455518 192 32.67 120565 22.19
682 159496499 639 249.88 120617 22.19
683 159620632 384 80.08 120720 22.19
684 159905685 268 46.26 120914 22.19
685 159905795 211 35.96 120934 22.19
686 160183805 63 17.91 121165 22.19
687 160233774 376 76.43 121219 22.19
688 160401595 476 129.76 121354 22.19
689 160580266 390 82.70 121505 22.19
690 160783199 359 69.86 121676 22.19
691 160908638 335 61.77 121791 22.19
692 161232295 97 21.75 122059 22.19
693 161418778 167 28.76 122195 22.19
694 161444741 384 80.08 122233 22.19
695 161830448 412 92.93 122508 22.19
696 162167007 508 144.95 122721 22.19
697 162211633 71 19.06 122762 22.19
698 162311613 430 101.41 122844 22.19
699 162358055 295 51.75 122903 22.19
700 162658017 460 119.54 123125 22.19
701 163342748 334 61.44 123613 22.19
702 163546172 398 85.63 123789 22.19
703 163916229 396 85.28 124072 22.19
704 164060371 240 41.21 124195 22.19
705 164305127 159 27.66 124387 22.19
706 164863184 280 48.67 124806 22.19
707 165077886 319 57.64 124973 22.19
708 165174643 79 20.03 125048 22.19
709 165183965 519 154.30 125078 22.19
710 165480167 440 109.25 125296 22.19
711 165809719 385 80.11 125540 22.19
712 166174755 312 55.68 125802 22.19
713 166188377 376 76.43 125831 22.19
714 167196881 71 19.06 126517 22.19
715 167204970 335 61.77 126544 22.29
716 167258899 547 162.22 126610 22.19
717 167344764 263 45.37 126684 22.19
718 167597251 152 26.78 126858 22.19
719 167710191 335 61.77 126945 22.29
720 167798041 255 43.96 127023 22.19
721 167948020 600 203.87 127154 22.19
722 167984285 81 20.25 127197 22.19
723 168448687 696 307.73 127526 22.19
724 168645491 430 101.41 127661 22.19
725 168743161 371 73.82 127756 22.19
726 168843102 423 97.36 127860 22.19
727 169109260 423 97.36 128054 22.19
728 169389980 433 104.37 128247 22.19
729 169390841 433 104.37 128267 22.19
730 169427099 103 22.23 128303 22.40
731 169489033 63 17.91 128361 22.29
732 169982936 83 20.46 128729 22.40
733 170000417 423 97.36 128763 22.51
734 170001347 312 55.68 128790 22.51
735 170047818 423 97.36 128829 22.51
736 170122352 224 38.29 128904 22.40
737 170151904 696 307.73 128944 22.29
738 170313773 275 47.73 129070 22.51
739 170484983 326 59.13 129227 22.51
740 170756073 705 364.03 129401 22.29
741 170820621 327 59.28 129449 22.51
742 170863649 444 109.09 129498 22.51
743 171025520 124 23.92 129611 22.51
744 171178140 448 112.41 129732 22.51
745 171328650 582 193.83 129879 22.51
746 171412017 63 17.91 129964 22.51
747 171668333 71 19.06 130167 22.51
748 171712581 387 81.05 130217 22.51
749 171904637 430 101.41 130372 22.51
750 172027722 608 202.86 130458 22.51
751 172188603 339 62.98 130583 22.51
752 172452546 78 19.92 130768 22.51
753 172620078 412 92.93 130912 22.51
754 173940173 560 175.34 131812 22.51
755 174428024 688 328.69 132186 22.51
