##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
517 116393247 476 129.76 88142 22.19
518 116645269 263 45.37 88342 22.19
519 117240002 408 90.57 88727 22.19
520 117320163 158 27.53 88793 22.19
521 117327106 56 16.76 88818 22.19
522 117446376 487 132.65 88925 22.19
523 117517607 339 62.98 88998 22.19
524 117682813 390 82.70 89123 22.19
525 117884324 462 120.87 89285 22.19
526 117999840 432 101.61 89374 22.19
527 118047256 463 119.23 89433 22.19
528 118183930 627 249.17 89548 22.19
529 118197004 524 150.73 89579 22.19
530 118339500 563 181.65 89691 22.19
531 118349918 423 97.36 89722 22.19
532 118394296 352 66.89 89770 22.19
533 118693934 70 18.93 89989 22.19
534 119621258 478 129.43 90609 22.19
535 119628403 537 162.17 90633 22.19
536 119683718 684 283.21 90706 22.19
537 119764107 150 26.54 90765 22.19
538 119979138 472 125.87 90940 22.19
539 120078475 455 117.03 91032 22.19
540 120124934 487 132.65 91088 22.19
541 120282664 300 52.79 91200 22.19
542 120419245 150 26.54 91317 22.19
543 120627677 248 42.69 91497 22.19
544 121629161 465 122.12 92178 22.19
545 121688872 390 82.70 92257 22.19
546 122689476 366 72.41 92949 22.19
547 123024318 57 16.93 93178 22.19
548 123154625 588 183.26 93279 22.19
549 123288090 476 129.76 93379 22.19
550 123291203 152 26.78 93404 22.19
551 123432652 399 87.30 93520 22.19
552 123435430 248 42.69 93539 22.19
553 123527785 96 21.67 93633 22.19
554 123867047 511 149.39 93903 22.19
555 124022352 624 242.54 94025 22.19
556 124183923 81 20.25 94140 22.19
557 125224898 384 80.08 94825 22.19
558 125488968 359 69.86 95010 22.19
559 125511335 227 38.83 95046 22.19
560 125742785 224 38.29 95221 22.19
561 125949082 152 26.78 95367 22.19
562 126052989 369 73.42 95462 22.19
563 126809156 198 33.69 96002 22.19
564 126898612 249 42.85 96079 22.19
565 127326230 688 328.69 96393 22.19
566 127569392 608 202.86 96580 22.19
567 128064202 415 95.00 96926 22.19
568 128213345 391 82.35 97041 22.19
569 128294951 451 113.08 97108 22.19
570 128328001 49 15.48 97141 22.19
571 128364458 63 17.91 97188 22.19
572 128414353 376 76.43 97246 22.19
573 128560486 384 80.08 97350 22.19
574 128568867 403 88.99 97374 22.19
575 128588800 83 20.46 97405 22.19
576 129403525 422 97.97 97974 22.19
577 129603342 255 43.96 98123 22.19
578 129696999 97 21.75 98199 22.19
579 129847411 423 97.36 98311 22.19
580 130229666 143 25.74 98590 22.19
581 130450628 355 68.30 98766 22.19
582 131704951 408 90.57 99698 22.19
583 131873718 844 916.36 99842 22.19
584 133472406 736 412.77 101049 22.19
585 133672398 423 97.36 101196 22.19
586 133777683 398 85.63 101265 22.19
587 133804302 620 217.12 101306 22.19
588 133846821 327 59.28 101358 22.19
589 134024175 348 65.64 101493 22.19
590 134035402 271 46.93 101524 22.19
591 134335276 707 320.63 101739 22.19
592 134457691 167 28.76 101843 22.19
593 134640750 152 26.78 101961 22.19
594 135154269 463 119.23 102346 22.19
595 136110570 412 92.93 102997 22.19
596 136554421 188 32.01 103326 22.19
597 136619658 380 78.12 103394 22.19
598 137090344 419 97.20 103738 22.19
599 137197533 391 82.35 103827 22.19
600 137492903 112 22.94 104028 22.19
601 137687784 448 112.41 104185 22.19
602 137712807 785 647.86 104216 22.19
603 138132811 415 95.00 104518 22.19
604 138191032 348 65.64 104572 22.19
605 138302551 376 76.43 104660 22.19
606 138692377 368 72.93 104957 22.19
607 138730795 686 278.39 105002 22.19
608 139577968 551 164.56 105567 22.19
609 140020780 172 29.49 105906 22.19
610 140192889 380 78.12 106040 22.19
611 140728746 56 16.76 106451 22.19
612 140999873 88 20.96 106642 22.19
613 141082496 423 97.36 106729 22.19
614 141219952 435 104.92 106838 22.19
615 141850253 230 39.39 107298 22.19
616 142547426 76 19.69 107813 22.19
617 142689866 657 260.46 107926 22.19
618 143022035 487 132.65 108167 21.97
619 143196502 423 97.36 108299 22.19
620 143230254 639 249.88 108348 21.97
621 143362027 659 253.36 108451 21.76
622 144336843 344 64.67 109089 21.76
623 144390706 531 160.62 109145 21.54
624 144589875 547 162.22 109296 21.54
625 144665869 199 33.86 109350 21.54
626 144672128 433 104.37 109374 21.54
627 145032027 423 97.36 109632 21.54
628 145068873 688 328.69 109680 21.97
629 145181339 415 95.00 109773 21.54
