##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Swarm Of Rats
1 385 511 149.39 0 22.51
2 805 184 31.36 21 22.51
3 2661 163 28.20 40 22.51
4 2705 60 17.43 59 22.51
5 3600 384 80.08 78 22.51
6 4627 62 17.75 97 22.51
7 4759 70 18.93 121 22.51
8 5111 67 18.51 140 22.51
9 5444 145 25.96 159 22.51
10 5833 284 49.41 178 22.51
11 5922 231 39.55 197 22.51
12 5948 88 20.96 216 22.51
13 6214 79 20.03 235 22.51
14 6306 572 183.73 254 22.51
15 7724 135 24.92 273 22.51
16 8296 435 104.92 292 22.51
17 8633 103 22.23 311 22.51
18 9486 103 22.23 330 22.51
19 10252 79 20.03 349 22.51
20 11263 318 57.28 368 22.51
21 11321 147 26.19 387 22.51
22 12692 70 18.93 406 22.51
23 13283 156 27.28 425 22.51
24 13904 67 18.51 448 22.51
25 14582 92 21.32 467 22.51
26 18271 176 30.09 486 22.51
27 20428 220 37.58 505 22.51
28 21883 79 20.03 524 22.51
29 23072 103 22.23 547 22.51
30 24132 57 16.93 566 22.51
31 24293 355 68.30 585 22.51
32 24638 415 95.00 604 22.51
33 24996 88 20.96 623 22.51
34 27465 207 35.26 642 22.51
35 27603 284 49.41 661 22.51
36 28320 399 87.30 680 22.51
37 28450 184 31.36 699 22.51
38 29812 108 22.63 718 22.51
39 30468 96 21.67 737 22.51
40 30551 440 109.25 756 22.51
41 30735 335 61.77 775 22.51
42 30790 472 125.87 799 22.51
43 32014 60 17.43 819 22.51
44 33261 135 24.92 838 22.51
45 33326 94 21.50 857 22.51
46 34344 440 109.25 876 22.51
47 34417 60 17.43 895 22.51
48 35385 396 85.28 914 22.51
49 35640 152 26.78 933 22.51
50 36148 51 15.86 952 22.51
51 36815 241 41.39 971 22.51
52 36973 408 90.57 990 22.51
53 37221 396 85.28 1009 22.51
54 37340 359 69.86 1028 22.51
55 37900 127 24.18 1047 22.51
56 38208 236 40.44 1066 22.51
57 38260 408 90.57 1088 22.51
58 39104 71 19.06 1108 22.51
59 39329 455 117.03 1131 22.51
60 39759 161 27.93 1150 22.51
61 39809 131 24.54 1169 22.51
62 40617 211 35.96 1188 22.51
63 41271 140 25.42 1207 22.51
64 41846 60 17.43 1226 22.51
65 43032 71 19.06 1245 22.51
66 44725 81 20.25 1264 22.51
67 45144 56 16.76 1283 22.51
68 45859 63 17.91 1302 22.51
69 45947 67 18.51 1321 22.51
70 48162 76 19.69 1340 22.51
71 48612 326 59.13 1359 22.51
72 50816 284 49.41 1378 22.51
73 51728 369 73.42 1397 22.51
74 52473 220 37.58 1416 22.51
75 52930 225 38.48 1440 22.51
76 53927 184 31.36 1459 22.51
77 54629 451 113.08 1478 22.51
78 55306 374 75.61 1497 22.51
79 55487 454 115.28 1516 22.51
80 56049 51 15.86 1535 22.51
81 56287 684 283.21 1554 22.51
82 56345 384 80.08 1573 22.51
83 56987 172 29.49 1592 22.51
84 57037 121 23.66 1611 22.51
85 57329 88 20.96 1636 22.51
86 59835 92 21.32 1655 22.51
87 59962 408 90.57 1674 22.51
88 60215 108 22.63 1693 22.51
89 60331 88 20.96 1712 22.51
90 60382 73 19.32 1731 22.51
91 60563 96 21.67 1750 22.51
92 60620 70 18.93 1774 22.51
93 61151 156 27.28 1793 22.51
94 61253 398 85.63 1812 22.51
95 61333 88 20.96 1831 22.51
96 61843 80 20.14 1850 22.51
97 62680 668 291.28 1869 22.51
98 62827 71 19.06 1888 22.51
99 62862 166 28.62 1907 22.51
100 65485 71 19.06 1926 22.51
101 66347 79 20.03 1945 22.51
102 66646 291 50.97 1964 22.51
103 66931 96 21.67 1983 22.51
104 67948 263 45.37 2002 22.51
105 68346 81 20.25 2021 22.51
106 68844 376 76.43 2040 22.51
107 70257 60 17.43 2059 22.51
108 70461 159 27.66 2078 22.51
109 71015 172 29.49 2093 22.51
110 71139 199 33.86 2112 22.51
111 72058 192 32.67 2131 22.51
112 73289 199 33.86 2150 22.51
113 73388 248 42.69 2174 22.51
114 73571 412 92.93 2193 22.51
115 74053 396 85.28 2212 22.51
116 74270 127 24.18 2231 22.51
117 75105 465 122.12 2250 22.51
118 75296 115 23.18 2269 22.51
119 77005 415 95.00 2288 22.51
120 77576 65 18.22 2307 22.51
121 78563 768 471.89 2326 22.51
122 79101 99 21.91 2345 22.51
